name,address,phone,email,website,rating,reviews_count,hours,category,directions_url
"VMR ELMAGS TRANSFORMER MANUFACTURING COMPANY CHENNAI-56,TAMIL NADU","24RG+JMM, Furniture point First floor,Near Ambedkar statue,Poonamalle, Trunk Rd, Kattupakkam, Chennai, Tamil Nadu 600056",086082 50181,,,4.0,,,Manufacturer,"https://www.google.com/maps/place/VMR+ELMAGS+TRANSFORMER+MANUFACTURING+COMPANY+CHENNAI-56,TAMIL+NADU/data=!4m7!3m6!1s0x3a5261baff4adcb1:0xdf79568b0d0a78bf!8m2!3d13.0415953!4d80.1266568!16s%2Fg%2F11g01vyrrt!19sChIJsdxK_7phUjoRv3gKDYtWed8?authuser=0&hl=en&rclk=1&dirflg=d&dir_action=navigate&travelmode=driving&ll=13.0415953%2C80.1266568"
Raini Industries India Private Limited,"Shop No:6, Ekkattuthangal, Nehru Street, Sardhar Colony, Poomagal Nagar, Gandhi Nagar, Chennai, Tamil Nadu 600032",044 2225 0894,,https://www.rainiindustries.com/,4.7,,,Metal fabricator,https://www.google.com/maps/place/Raini+Industries+India+Private+Limited/data=!4m7!3m6!1s0x3a5267397d6e6f31:0xd5dc7aac957bd8a3!8m2!3d13.0169022!4d80.2010368!16s%2Fg%2F1v3hydkk!19sChIJMW9ufTlnUjoRo9h7lax63NU?authuser=0&hl=en&rclk=1&dirflg=d&dir_action=navigate&travelmode=driving&ll=13.0169022%2C80.2010368
