name,address,phone,email,website,rating,reviews_count,hours,category,directions_url
Bhava Business Consultants,"D4B VGN Imperia Phase 1, 3rd Main Rd, VGN Mahalakshmi Nagar, Thiruverkadu, Chennai, Tamil Nadu 600077",086676 90521,,https://bhavabusinessconsultants.com/,4.9,,,Business management consultant,https://www.google.com/maps/place/Bhava+Business+Consultants/data=!4m7!3m6!1s0x3a5261828ab78b13:0x5ef50259aaec3216!8m2!3d13.0686806!4d80.1418695!16s%2Fg%2F11h_z8401l!19sChIJE4u3ioJhUjoRFjLsqlkC9V4?authuser=0&hl=en&rclk=1&dirflg=d&dir_action=navigate&travelmode=driving&ll=13.0686806%2C80.1418695
SSK Consultant - Business Consultant in Chennai/Hr Consultant in Chennai/Hr Outsourcing Services,"COQUB, NO : 16/2A, First Floor, Service Road, near Ring Road, Vanagaram, Maduravoyal, Chennai, Tamil Nadu 600095",097908 53508,,https://www.sskconsultant.com/,5.0,,,Business management consultant,https://www.google.com/maps/place/SSK+Consultant+-+Business+Consultant+in+Chennai%2FHr+Consultant+in+Chennai%2FHr+Outsourcing+Services/data=!4m7!3m6!1s0xbb01b498541fc57:0x64d979d90b2f5ba9!8m2!3d13.0600368!4d80.1600971!16s%2Fg%2F11l2yjb_bx!19sChIJV_xBhUkbsAsRqVsvC9l52WQ?authuser=0&hl=en&rclk=1&dirflg=d&dir_action=navigate&travelmode=driving&ll=13.0600368%2C80.1600971
